Tropical Cyclone Best Track Data (post analysis)
熱帶氣旋最佳路徑數據(事後分析)
热带气旋最佳路径数据(事后分析)
Tropical Cyclone Name/熱帶氣旋名稱/热带气旋名称,Year/年/年,Month/月/月,Day/日/日,Time (UTC)/時間(協調世界時)/时间(协调世界时),Intensity/強度/强度,Latitude (0.01 degree N)/北緯(0.01度)/北纬(0.01度),Longitude (0.01 degree E)/東經(0.01度)/东经(0.01度),Estimated minimum central pressure (hPa)/估計最低中心氣壓(百帕斯卡)/估计最低中心气压(百帕斯卡),Estimated maximum surface winds (knot)/估計最高風速(海里)/估计最高风速(海里),JMA Code/JMA編號/JMA编号,HKO Code/HKO編號/HKO编号
EWINIAR,2024,5,24,0,TD,840,12750,1002,25,2401,0001
EWINIAR,2024,5,24,6,TD,940,12700,1002,25,2401,0001
EWINIAR,2024,5,24,12,TD,1000,12610,1002,25,2401,0001
EWINIAR,2024,5,24,18,TD,1110,12520,1000,30,2401,0001
EWINIAR,2024,5,25,0,TD,1200,12400,1000,30,2401,0001
EWINIAR,2024,5,25,6,TD,1260,12270,1000,30,2401,0001
EWINIAR,2024,5,25,12,TD,1320,12210,1000,30,2401,0001
EWINIAR,2024,5,25,18,TS,1370,12180,998,35,2401,0001
EWINIAR,2024,5,26,0,TS,1400,12160,992,45,2401,0001
EWINIAR,2024,5,26,6,STS,1440,12170,984,55,2401,0001
EWINIAR,2024,5,26,12,T,1490,12220,970,70,2401,0001
EWINIAR,2024,5,26,18,T,1550,12250,965,75,2401,0001
EWINIAR,2024,5,27,0,T,1580,12280,965,75,2401,0001
EWINIAR,2024,5,27,6,T,1640,12330,965,75,2401,0001
EWINIAR,2024,5,27,12,T,1700,12400,970,70,2401,0001
EWINIAR,2024,5,27,18,T,1760,12470,970,70,2401,0001
EWINIAR,2024,5,28,0,T,1850,12570,970,70,2401,0001
EWINIAR,2024,5,28,6,T,1980,12680,970,70,2401,0001
EWINIAR,2024,5,28,12,T,2110,12800,970,70,2401,0001
EWINIAR,2024,5,28,18,T,2260,12950,970,70,2401,0001
EWINIAR,2024,5,29,0,T,2420,13070,975,65,2401,0001
EWINIAR,2024,5,29,6,T,2540,13210,975,65,2401,0001
EWINIAR,2024,5,29,12,STS,2640,13280,980,60,2401,0001
EWINIAR,2024,5,29,18,STS,2720,13400,980,60,2401,0001
EWINIAR,2024,5,30,0,STS,2810,13490,984,55,2401,0001
MALIKSI,2024,5,30,9,TD,1680,11220,1000,25,2402,0002
MALIKSI,2024,5,30,12,TD,1720,11220,1000,25,2402,0002
MALIKSI,2024,5,30,18,TD,1820,11230,1000,25,2402,0002
MALIKSI,2024,5,31,0,TD,1910,11210,998,30,2402,0002
MALIKSI,2024,5,31,6,TS,2040,11190,996,35,2402,0002
MALIKSI,2024,5,31,12,TS,2080,11140,996,35,2402,0002
MALIKSI,2024,5,31,18,TS,2160,11160,996,35,2402,0002
MALIKSI,2024,6,1,0,TD,2260,11220,998,30,2402,0002
MALIKSI,2024,6,1,6,TD,2330,11250,1000,25,2402,0002
nameless,2024,7,13,9,TD,1340,11270,998,25,,0003
nameless,2024,7,13,12,TD,1350,11260,998,25,,0003
nameless,2024,7,13,18,TD,1370,11240,998,25,,0003
nameless,2024,7,14,0,TD,1400,11200,998,25,,0003
nameless,2024,7,14,6,TD,1450,11150,998,25,,0003
nameless,2024,7,14,12,TD,1490,11100,998,25,,0003
nameless,2024,7,14,18,TD,1560,11010,998,25,,0003
nameless,2024,7,15,0,TD,1630,10930,998,25,,0003
nameless,2024,7,15,6,TD,1700,10790,998,25,,0003
