category,lead_time,time/name,lat,lon,wind,pressure,w41_ne,w41_se,w41_sw,w41_nw,w88_ne,w88_se,w88_sw,w88_nw
tc_info,2026-08-12 15:00,浪卡 (2617),,,65,,,,,,,,,
past,,2026-08-11 06:00,21.0,135.1,56,998,,,,,,,,,
past,,2026-08-11 09:00,21.2,138.4,56,998,,,,,,,,,
past,,2026-08-11 12:00,21.6,140.3,56,998,,,,,,,,,
past,,2026-08-11 15:00,21.6,140.9,56,998,,,,,,,,,
past,,2026-08-11 18:00,22.0,141.0,56,996,,,,,,,,,
past,,2026-08-11 21:00,21.5,140.7,56,996,,,,,,,,,
past,,2026-08-12 00:00,22.1,141.9,65,994,,,,,,,,,
past,,2026-08-12 03:00,22.2,142.9,65,994,,,,,,,,,
past,,2026-08-12 06:00,22.2,144.0,65,994,,,,,,,,,
past,,2026-08-12 09:00,22.7,144.4,65,994,,,,,,,,,
past,,2026-08-12 12:00,23.4,144.8,65,994,,,,,,,,,
past,,2026-08-12 15:00,24.0,145.3,65,994,,,,,,,,,
forecast,0H,2026-08-12 15:00,24.0,145.3,65,994,,,,,,,,,
forecast,12H,,24.1,146.0,65,,,,,,,,,
forecast,24H,,25.2,147.1,65,,,,,,,,,
forecast,36H,,26.1,148.2,56,,,,,,,,,
forecast,48H,,26.7,149.0,37,,,,,,,,,
