tc_info,2026-08-22 08:00,沙德爾 (2619),17.9,146.5,155,,,,,,,,,
past,,2026-08-18 20:00,8.3,154.6,45,,,,,,,,,
past,,2026-08-19 04:00,7.9,154.9,45,,,,,,,,,
past,,2026-08-19 08:00,8.0,154.2,55,,,,,,,,,
past,,2026-08-19 14:00,8.5,154.1,65,,,,,,,,,
past,,2026-08-19 20:00,9.4,153.7,65,,,,,,,,,
past,,2026-08-20 02:00,10.5,152.8,65,,,,,,,,,
past,,2026-08-20 08:00,11.4,151.6,65,,,,,,,,,
past,,2026-08-20 14:00,11.9,150.9,65,,,,,,,,,
past,,2026-08-20 20:00,12.8,150.2,75,,,,,,,,,
past,,2026-08-21 02:00,13.7,149.6,75,,,,,,,,,
past,,2026-08-21 08:00,14.7,149.0,85,,,,,,,,,
past,,2026-08-21 14:00,14.9,148.5,110,,,,,,,,,
past,,2026-08-21 20:00,16.0,148.1,130,,,,,,,,,
past,,2026-08-22 02:00,17.1,147.3,150,,,,,,,,,
past,,2026-08-22 08:00,17.9,146.5,155,,,,,,,,,
past,,2026-08-22 14:00,18.6,145.8,175,,,,,,,,,
forecast,0H,2026-08-22 08:00,17.9,146.5,155,,,,,,,,,
forecast,12H,2026-08-22 20:00,19.5,144.7,195,,,,,,,,,
forecast,24H,2026-08-23 08:00,20.9,142.4,220,,,,,,,,,
forecast,36H,2026-08-23 20:00,22.2,139.9,240,,,,,,,,,
forecast,48H,2026-08-24 08:00,23.4,137.1,240,,,,,,,,,
forecast,72H,2026-08-25 08:00,25.3,132.3,220,,,,,,,,,
forecast,96H,2026-08-26 08:00,26.7,128.8,175,,,,,,,,,
forecast,120H,2026-08-27 08:00,26.8,126.0,150,,,,,,,,,

