category,lead_time,time/name,lat,lon,wind,pressure,w41_ne,w41_se,w41_sw,w41_nw,w88_ne,w88_se,w88_sw,w88_nw
tc_info,,天兔,2026-08-11 18:00,,105,980,,,,,,,,
past,,08/11 06:00,18.5,123.0,90,,,,,,,,,
past,,08/11 12:00,19.2,122.8,100,,,,,,,,,
past,,08/11 18:00,20.0,122.5,105,,,,,,,,,
forecast,0H,08/11 18:00,20.0,122.5,105,,150,130,110,120,50,40,30,40 
forecast,12H,08/12 06:00,20.8,122.2,110,,,,,,,,,
forecast,24H,08/12 18:00,21.8,122.1,115,,,,,,,,,
forecast,36H,08/13 06:00,22.8,122.5,105,,,,,,,,,
forecast,48H,08/13 18:00,23.8,123.3,95,,,,,,,,,
forecast,72H,08/14 18:00,26.0,125.8,75,,,,,,,,,
forecast,96H,08/15 18:00,28.5,129.0,55,,,,,,,,,
forecast,120H,08/16 18:00,31.0,133.0,35,,,,,,,,,
