category,lead_time,time/name,lat,lon,wind,pressure,w41_ne,w41_se,w41_sw,w41_nw,w88_ne,w88_se,w88_sw,w88_nw
tc_info,,桔梗,2026-08-11 18:00,,55,1000,,,,,,,,
past,,08/11 06:00,11.2,114.8,45,,,,,,,,,
past,,08/11 12:00,11.5,113.5,50,,,,,,,,,
past,,08/11 18:00,11.8,112.2,55,,,,,,,,,
forecast,0H,08/11 18:00,11.8,112.2,55,,100,80,60,70,,,,
forecast,12H,08/12 06:00,12.1,110.8,60,,,,,,,,,
forecast,24H,08/12 18:00,12.4,109.4,65,,,,,,,,,
forecast,36H,08/13 06:00,12.6,108.0,55,,,,,,,,,
forecast,48H,08/13 18:00,12.7,106.8,40,,,,,,,,,
forecast,72H,08/14 18:00,12.5,105.0,25,,,,,,,,,
forecast,96H,08/15 18:00,12.0,103.5,15,,,,,,,,,
forecast,120H,08/16 18:00,11.5,102.0,10,,,,,,,,,
